Wavelength (nm),Illuminant A,D50,D65
380,9.7951,24.13654003,49.9755
390,12.0853,29.88175615,54.6482
400,14.708,49.32281561,82.7549
410,17.6753,56.52826939,91.486
420,20.995,60.04854451,93.4318
430,24.6709,57.83016797,86.6823
440,28.7027,74.83791292,104.865
450,33.0859,87.26005081,117.008
460,37.8121,90.62392631,117.812
470,42.8693,91.37820512,114.861
480,48.2423,95.11741556,115.923
490,53.9132,91.96995511,108.811
500,59.8611,95.72956419,109.354
510,66.0635,96.61810473,107.802
520,72.4959,97.13225067,104.79
530,79.1326,102.1014564,107.689
540,85.947,100.7562582,104.405
550,92.912,102.3177301,104.046
560,100,100,100
570,107.184,97.73440315,96.3342
580,114.436,98.91667309,95.788
590,121.731,93.49692782,88.6856
600,129.043,97.68479295,90.0062
610,136.346,99.26532362,89.5991
620,143.618,99.03705654,87.6987
630,150.836,95.71692283,83.2886
640,157.979,98.85131495,83.6992
650,165.028,95.66117656,80.0268
660,171.963,98.18290396,80.2146
670,178.769,102.9954341,82.2778
680,185.429,99.12503,78.2842
690,191.931,87.3741062,69.7213
700,198.261,91.59583361,71.6091
710,204.409,92.88144066,74.349
720,210.365,76.84851184,61.604
730,216.12,86.50477693,69.8856
