Wavelength,x,y,z
380,0.001368,3.90E-05,0.006450001
390,0.004243,0.00012,0.02005001
400,0.01431,0.000396,0.06785001
410,0.04351,0.00121,0.2074
420,0.13438,0.004,0.6456
430,0.2839,0.0116,1.3856
440,0.34828,0.023,1.74706
450,0.3362,0.038,1.77211
460,0.2908,0.06,1.6692
470,0.19536,0.09098,1.28764
480,0.09564,0.13902,0.8129501
490,0.03201,0.20802,0.46518
500,0.0049,0.323,0.272
510,0.0093,0.503,0.1582
520,0.06327,0.71,0.07824999
530,0.1655,0.862,0.04216
540,0.2904,0.954,0.0203
550,0.4334499,0.9949501,0.008749999
560,0.5945,0.995,0.0039
570,0.7621,0.952,0.0021
580,0.9163,0.87,0.001650001
590,1.0263,0.757,0.0011
600,1.0622,0.631,0.0008
610,1.0026,0.503,0.00034
620,0.8544499,0.381,0.00019
630,0.6424,0.265,5.00E-05
640,0.4479,0.175,2.00E-05
650,0.2835,0.107,0
660,0.1649,0.061,0
670,0.0874,0.032,0
680,0.04677,0.017,0
690,0.0227,0.00821,0
700,0.01135916,0.004102,0
710,0.005790346,0.002091,0
720,0.002899327,0.001047,0
730,0.001439971,0.00052,0
